ucf_class,behavior,intra_class_variance,distance_from_ssv2_center,within_class_similarity,embedding_norm,top1_prob_mean,top1_prob_std,n_videos
Swing,HIGH_CONF_INCONSISTENT,0.27312101275705825,0.14597395555904358,0.8801364370649362,50.90904576495809,0.5593989372253418,0.16882583553054442,10
TableTennisShot,HIGH_CONF_CONSISTENT,0.314339028906514,0.10582843269529563,0.8589054230953848,50.28928995892784,0.5255437344312668,0.1812671260025965,10
TaiChi,HIGH_CONF_INCONSISTENT,0.5009989212986788,0.07797896685903527,0.7851153955094282,51.20049132604053,0.43435910120606425,0.2660521103874942,10
TennisSwing,HIGH_CONF_CONSISTENT,0.2792710048315046,0.12473679866011844,0.8765353785323055,50.84779511668098,0.4208028346300125,0.14075795832476706,10
ThrowDiscus,HIGH_CONF_CONSISTENT,0.28865086994983447,0.12153276511471389,0.8718360344194035,50.5710482557382,0.5851459413766861,0.15216284543881603,10
TrampolineJumping,HIGH_CONF_CONSISTENT,0.3743200126618118,0.15971078071089795,0.8468132484573325,52.824206210831754,0.52298304438591,0.1747088334797169,10
Typing,HIGH_CONF_CONSISTENT,0.23002212770854932,0.28062920318433426,0.9037661486194903,52.52204191147611,0.4455109179019928,0.12913033364595145,10
UnevenBars,HIGH_CONF_INCONSISTENT,0.31925039017609486,0.1500330987445595,0.8587696047535862,50.500233431987674,0.4741367116570473,0.13352666077986625,10
VolleyballSpiking,HIGH_CONF_CONSISTENT,0.4091834050792034,0.10565832625312044,0.8255792704301403,51.43337214954558,0.47188268005847933,0.24114007019305272,10
WalkingWithDog,HIGH_CONF_CONSISTENT,0.3541108312519734,0.12027017089737513,0.8424659215167889,50.49782617214612,0.7177459895610809,0.2915188626172608,10
WallPushups,LOW_CONF_SCATTERED,0.6353053487055098,0.13708628871793926,0.7239326138427327,51.15873868584931,0.23444323241710663,0.0660994037011881,10
WritingOnBoard,LOW_CONF_SCATTERED,0.33845287071929686,0.18802524400854304,0.8614343861318445,52.48455453368032,0.18903204575181004,0.0682234059926287,10
